id,t,Gp,A,Gi
0,0.0,1.660934,1.158318,1.787897
0,0.5,5.383801,1.231717,2.691758
0,1.0,3.879351,2.125111,4.1309
0,1.5,1.022384,1.771959,2.33954
0,2.0,1.68883,1.047515,1.451355
0,2.5,6.9562,1.255331,3.090362
0,3.0,2.932099,2.376318,4.342602
0,3.5,0.630265,1.695473,2.032518
0,4.0,1.472937,0.89466,1.186181
0,4.5,8.393196,1.218787,3.32801
0,5.0,2.387655,2.612146,4.637163
0,5.5,0.371172,1.707329,1.908896
0,6.0,0.983411,0.801097,0.945486
0,6.5,8.466938,0.994461,2.884939
0,7.0,2.876952,2.80937,5.337907
0,7.5,0.23254,1.906956,2.097475
0,8.0,0.459651,0.825785,0.833878
0,8.5,5.361801,0.649372,1.675148
0,9.0,6.394948,2.673544,6.375435
0,9.5,0.22377,2.373381,2.792545
0,10.0,0.176002,1.038534,0.971335
0,10.5,1.758963,0.485615,0.75672
0,11.0,13.41241,1.644346,5.413491
0,11.5,0.597366,3.020678,4.35402
0,12.0,0.087671,1.523699,1.473782
0,12.5,0.396675,0.599197,0.583544
0,13.0,6.831876,0.602083,1.876495
0,13.5,4.778112,3.027616,6.750053
0,14.0,0.114982,2.350262,2.613497
0,14.5,0.104945,0.976653,0.876132
0,15.0,1.226638,0.416751,0.57852
0,15.5,14.271434,1.36347,4.861268
0,16.0,0.743848,3.223334,4.920921
0,16.5,0.061769,1.692989,1.651621
0,17.0,0.209863,0.652866,0.588804
0,17.5,3.85554,0.430135,1.089767
0,18.0,9.612799,2.592424,7.151589
0,18.5,0.167891,2.740506,3.312003
0,19.0,0.065128,1.201085,1.090988
0,19.5,0.533078,0.463955,0.483994
0,20.0,9.970946,0.752145,2.70473
0,20.5,2.444804,3.291614,6.320893
0,21.0,0.071404,2.133914,2.234885
0,21.5,0.104629,0.8506,0.74894
0,22.0,1.512242,0.379225,0.595631
0,22.5,14.889295,1.597213,5.594754
0,23.0,0.500777,3.189493,4.58972
0,23.5,0.053654,1.592759,1.521871
0,24.0,0.22071,0.60693,0.547994
0,24.5,4.319821,0.434821,1.180094
0,25.0,8.639763,2.723158,7.247189
1,0.0,1.546052,0.641266,1.963434
1,0.5,7.118238,1.400678,3.483271
1,1.0,2.329832,2.327002,3.979009
1,1.5,0.701579,1.559509,1.862919
1,2.0,2.03565,0.880237,1.306289
1,2.5,8.776133,1.468985,3.964708
1,3.0,1.654625,2.528453,4.082009
1,3.5,0.422801,1.514266,1.667339
1,4.0,1.558126,0.755595,1.030044
1,4.5,10.103411,1.328641,3.932103
1,5.0,1.576058,2.767808,4.554503
1,5.5,0.241801,1.626881,1.717201
1,6.0,0.809016,0.715838,0.80461
1,6.5,8.770706,0.907495,2.775353
1,7.0,2.877684,2.942537,5.667722
1,7.5,0.168437,1.986655,2.152864
1,8.0,0.299353,0.833026,0.794757
1,8.5,3.85979,0.531117,1.220477
1,9.0,9.218614,2.450421,6.623456
1,9.5,0.248467,2.631096,3.244623
1,10.0,0.112117,1.180279,1.096373
1,10.5,0.918145,0.487448,0.587595
1,11.0,12.376402,1.08028,3.823056
1,11.5,1.334056,3.220672,5.41696
1,12.0,0.078621,1.84914,1.868016
1,12.5,0.196539,0.728423,0.658263
1,13.0,3.234895,0.42995,0.97541
1,13.5,11.014427,2.38246,6.919389
1,14.0,0.218516,2.815565,3.518625
1,14.5,0.068598,1.265621,1.163347
1,15.0,0.500035,0.489692,0.501332
1,15.5,9.276763,0.713921,2.509282
1,16.0,2.828056,3.249652,6.428881
1,16.5,0.078346,2.177244,2.306151
1,17.0,0.104715,0.874606,0.772771
1,17.5,1.453888,0.386169,0.591567
1,18.0,14.818896,1.551067,5.456677
1,18.5,0.539794,3.196932,4.650089
1,19.0,0.055156,1.610926,1.545096
1,19.5,0.219189,0.615219,0.555432
1,20.0,4.240168,0.434279,1.164973
1,20.5,8.799523,2.701372,7.231915
1,21.0,0.146518,2.697243,3.204883
1,21.5,0.063713,1.167364,1.054081
1,22.0,0.55368,0.450913,0.476013
1,22.5,10.362603,0.77585,2.820137
1,23.0,2.251888,3.311247,6.255421
1,23.5,0.068068,2.109455,2.196009
1,24.0,0.104965,0.837453,0.736109
1,24.5,1.550279,0.375792,0.599355
1,25.0,14.910419,1.625912,5.676788
2,0.0,1.64171,1.679096,0.69217
2,0.5,6.015071,0.960239,2.229153
2,1.0,4.781783,2.454392,5.232222
2,1.5,0.458562,2.036292,2.461192
2,2.0,0.606848,0.966908,1.037699
2,2.5,5.150917,0.748028,1.786491
2,3.0,6.33333,2.503532,5.891481
2,3.5,0.336795,2.282773,2.761601
2,4.0,0.292581,1.038046,1.015933
2,4.5,2.703076,0.56243,1.03548
2,5.0,11.251678,2.01047,5.917271
2,5.5,0.455313,2.75593,3.698536
2,6.0,0.133461,1.325078,1.272472
2,6.5,0.833756,0.550487,0.63384
2,7.0,11.064599,0.983185,3.364972
2,7.5,1.799928,3.160221,5.5973
2,8.0,0.097473,1.91532,1.977757
2,8.5,0.211182,0.767289,0.700992
2,9.0,3.228825,0.44964,0.998101
2,9.5,10.927885,2.352926,6.809724
2,10.0,0.236539,2.795449,3.510126
2,10.5,0.076156,1.262872,1.165584
2,11.0,0.55447,0.49354,0.51673
2,11.5,9.795957,0.764685,2.696468
2,12.0,2.519927,3.252434,6.26364
2,12.5,0.078732,2.121631,2.230143
2,13.0,0.117133,0.84931,0.752216
2,13.5,1.680459,0.389295,0.638028
2,14.0,14.629375,1.695209,5.807756
2,14.5,0.452745,3.138476,4.429963
2,15.0,0.05664,1.54468,1.468803
2,15.5,0.25349,0.589416,0.539608
2,16.0,4.96392,0.465683,1.337321
2,16.5,7.405741,2.844823,7.20672
2,17.0,0.126976,2.60223,3.018796
2,17.5,0.068706,1.107988,0.994529
2,18.0,0.659182,0.433507,0.481344
2,18.5,11.584004,0.882754,3.252993
2,19.0,1.722476,3.330603,5.959408
