id,t,x0,x1
0,0.0,3.789472,4.565064
0,0.4,3.938186,4.843021
0,0.8,3.974706,5.126022
0,1.2,3.894611,5.399498
0,1.6,3.688472,5.647812
0,2.0,3.329567,5.852228
0,2.4,2.739937,5.985065
0,2.8,1.640086,5.987488
0,3.2,0.423613,5.808511
0,3.6,0.419606,5.644697
0,4.0,0.436093,5.483707
0,4.4,0.453973,5.324949
0,4.8,0.473401,5.168614
0,5.2,0.494599,5.014922
0,5.6,0.517839,4.864129
0,6.0,0.543459,4.716529
0,6.4,0.57188,4.57247
0,6.8,0.603642,4.432367
0,7.2,0.639452,4.296722
0,7.6,0.680253,4.166153
0,8.0,0.727349,4.041438
0,8.4,0.782602,3.923583
0,8.8,0.848777,3.813934
0,9.2,0.930165,3.714357
0,9.6,1.033713,3.627562
0,10.0,1.170992,3.557667
0,10.4,1.360909,3.511096
0,10.8,1.630267,3.497631
0,11.2,2.002613,3.53023
0,11.6,2.470128,3.621312
0,12.0,2.978829,3.776645
0,12.4,3.456098,3.992544
0,12.8,3.846096,4.258022
0,13.2,4.11992,4.558389
0,13.6,4.26845,4.877848
0,14.0,4.29214,5.200722
0,14.4,4.19267,5.511616
0,14.8,3.965604,5.794683
0,15.2,3.589653,6.031637
0,15.6,2.997935,6.196505
0,16.0,1.950835,6.236646
0,16.4,0.424886,6.066521
0,16.8,0.396294,5.898829
0,17.2,0.410958,5.734701
0,17.6,0.426792,5.572552
0,18.0,0.443898,5.412537
0,18.4,0.462444,5.254835
0,18.8,0.482632,5.099652
0,19.2,0.504705,4.947221
0,19.6,0.528961,4.797814
0,20.0,0.555773,4.651748
0,20.4,0.585611,4.509399
0,20.8,0.619081,4.371219
0,21.2,0.656984,4.237755
0,21.6,0.700408,4.109692
0,22.0,0.750873,3.987899
0,22.4,0.810588,3.873516
0,22.8,0.882901,3.768092
0,23.2,0.973106,3.673821
0,23.6,1.089913,3.59395
0,24.0,1.247832,3.533496
0,24.4,1.46962,3.500274
0,24.8,1.783169,3.505671
0,25.2,2.201869,3.563112
0,25.6,2.696559,3.682735
0,26.0,3.199767,3.866085
0,26.4,3.643314,4.105776
0,26.8,3.983589,4.388755
0,27.2,4.201808,4.699606
0,27.6,4.2943,5.022504
0,28.0,4.26298,5.341931
0,28.4,4.107757,5.642437
0,28.8,3.818499,5.907448
0,29.2,3.359437,6.116259
0,29.6,2.616665,6.235219
0,30.0,1.140516,6.180512
0,30.4,0.390374,5.990544
0,30.8,0.40269,5.825312
0,31.2,0.41788,5.662051
0,31.6,0.434263,5.500833
0,32.0,0.451989,5.341828
0,32.4,0.471241,5.185224
0,32.8,0.492238,5.031238
0,33.2,0.515245,4.880121
0,33.6,0.540591,4.732163
0,34.0,0.568689,4.587707
0,34.4,0.600063,4.447159
0,34.8,0.6354,4.311009
0,35.2,0.675612,4.179863
0,35.6,0.721958,4.054478
0,36.0,0.776226,3.935832
0,36.4,0.841061,3.825227
0,36.8,0.920548,3.72446
0,37.2,1.021274,3.636132
0,37.6,1.154191,3.564171
0,38.0,1.337304,3.514703
0,38.4,1.596786,3.497115
0,38.8,1.957669,3.52413
0,39.2,2.416861,3.608516
0,39.6,2.924658,3.756987
0,40.0,3.408435,3.966831
1,0.0,1.512455,6.702316
1,0.4,0.323177,6.468415
1,0.8,0.331067,6.280716
1,1.2,0.342951,6.095021
1,1.6,0.355682,5.911269
1,2.0,0.369354,5.729602
1,2.4,0.384073,5.550182
1,2.8,0.399963,5.373185
1,3.2,0.41717,5.198814
1,3.6,0.435865,5.027296
1,4.0,0.456251,4.858887
1,4.4,0.478569,4.693883
1,4.8,0.503112,4.532623
1,5.2,0.530234,4.3755
1,5.6,0.560373,4.222975
1,6.0,0.594074,4.07559
1,6.4,0.632027,3.933993
1,6.8,0.675115,3.798968
1,7.2,0.724487,3.67147
1,7.6,0.781656,3.552687
1,8.0,0.848643,3.444115
1,8.4,0.928146,3.347659
1,8.8,1.023725,3.265768
1,9.2,1.139846,3.201574
1,9.6,1.281457,3.158978
1,10.0,1.452466,3.142502
1,10.4,1.6527,3.156677
1,10.8,1.874316,3.204859
1,11.2,2.100569,3.287815
1,11.6,2.308975,3.402803
1,12.0,2.476951,3.543567
1,12.4,2.585988,3.701009
1,12.8,2.622505,3.863978
1,13.2,2.575836,4.019748
1,13.6,2.434158,4.153849
1,14.0,2.17786,4.248911
1,14.4,1.769294,4.281911
1,14.8,1.173492,4.223355
1,15.2,0.702241,4.08516
1,15.6,0.640823,3.941992
1,16.0,0.673881,3.806495
1,16.4,0.721712,3.678545
1,16.8,0.7782,3.559231
