id,t,x0,x1
0,0.0,3.789472,4.565064
0,0.4,3.71557,5.722519
0,0.8,3.098807,6.548714
0,1.2,1.662996,6.613459
0,1.6,0.40086,5.761738
0,2.0,0.464983,5.062174
0,2.4,0.564825,4.418679
0,2.8,0.713109,3.856238
0,3.2,0.946377,3.420841
0,3.6,1.316406,3.188183
0,4.0,1.826723,3.242076
0,4.4,2.346327,3.596632
0,4.8,2.693823,4.157693
0,5.2,2.751208,4.761265
0,5.6,2.448151,5.205635
0,6.0,1.681717,5.236188
0,6.4,0.688286,4.658928
0,6.8,0.659505,4.049619
0,7.2,0.849681,3.561038
0,7.6,1.163546,3.244234
0,8.0,1.629933,3.186529
0,8.4,2.16774,3.436868
0,8.8,2.595505,3.938662
0,9.2,2.767827,4.5479
0,9.6,2.604377,5.075645
0,10.0,2.024627,5.291838
0,10.4,0.959947,4.912235
0,10.8,0.620309,4.256845
0,11.2,0.768426,3.722704
0,11.6,1.032295,3.33407
0,12.0,1.444588,3.172521
0,12.4,1.975137,3.311474
0,12.8,2.463758,3.735103
0,13.2,2.740705,4.325385
0,13.6,2.706609,4.906664
0,14.0,2.291427,5.266751
0,14.4,1.377243,5.130215
0,14.8,0.620511,4.478948
0,15.2,0.701157,3.90313
0,15.6,0.921296,3.453847
0,16.0,1.276491,3.199152
0,16.4,1.776948,3.224697
0,16.8,2.303251,3.554043
0,17.2,2.672223,4.101976
0,17.6,2.759126,4.709073
0,18.0,2.492092,5.176963
0,18.4,1.77459,5.257904
0,18.8,0.734913,4.720858
0,19.2,0.647847,4.099515
0,19.6,0.828216,3.59906
0,20.0,1.12914,3.263397
0,20.4,1.582841,3.17919
0,20.8,2.121196,3.402513
0,21.2,2.565955,3.886688
0,21.6,2.765137,4.493507
0,22.0,2.634465,5.03716
0,22.4,2.097213,5.292537
0,22.8,1.056948,4.972419
0,23.2,0.615066,4.310235
0,23.6,0.750555,3.765661
0,24.0,1.003064,3.361059
0,24.4,1.401259,3.175411
0,24.8,1.926308,3.286303
0,25.2,2.426523,3.687984
0,25.6,2.727507,4.269911
0,26.0,2.724074,4.860079
0,26.4,2.346814,5.249978
0,26.8,1.481258,5.170944
0,27.2,0.633543,4.536623
0,27.6,0.686607,3.950258
0,28.0,0.896731,3.487527
0,28.4,1.238088,3.211675
0,28.8,1.728249,3.209558
0,29.2,2.259959,3.513608
0,29.6,2.649323,4.047689
0,30.0,2.764825,4.657087
0,30.4,2.532443,5.146551
0,30.8,1.861531,5.274584
0,31.2,0.794768,4.783741
0,31.6,0.637291,4.150269
0,32.0,0.80768,3.638378
0,32.4,1.096043,3.284596
0,32.8,1.536531,3.174406
0,33.2,2.073872,3.370323
0,33.6,2.534381,3.835736
0,34.0,2.759787,4.438634
0,34.4,2.661342,4.996415
0,34.8,2.165321,5.288537
0,35.2,1.160139,5.029146
0,35.6,0.612628,4.364549
0,36.0,0.73351,3.809714
