id,t,activator,inhibitor
0,0.0,4.095824,6.633271
0,0.4,3.464222,6.888854
0,0.8,2.472824,6.999549
0,1.2,0.581304,6.830147
0,1.6,0.364548,6.605437
0,2.0,0.379272,6.395306
0,2.4,0.39537,6.187595
0,2.8,0.412888,5.982509
0,3.2,0.432032,5.780292
0,3.6,0.453049,5.581224
0,4.0,0.476244,5.385632
0,4.4,0.501994,5.193896
0,4.8,0.53078,5.006472
0,5.2,0.56322,4.823904
0,5.6,0.600129,4.646862
0,6.0,0.642608,4.476175
0,6.4,0.692195,4.312903
0,6.8,0.751107,4.158435
0,7.2,0.82268,4.014652
0,7.6,0.912141,3.884206
0,8.0,1.028004,3.771004
0,8.4,1.184299,3.681027
0,8.8,1.402776,3.6235
0,9.2,1.709642,3.611701
0,9.6,2.116454,3.660993
0,10.0,2.593358,3.78249
0,10.4,3.073886,3.976984
0,10.8,3.491575,4.234834
0,11.2,3.804103,4.539924
0,11.6,3.993133,4.873484
0,12.0,4.054545,5.216259
0,12.4,3.988746,5.549163
0,12.8,3.792325,5.852707
0,13.2,3.447476,6.104901
0,13.6,2.896807,6.275673
0,14.0,1.942725,6.307731
0,14.4,0.486713,6.105017
0,14.8,0.420928,5.896873
0,15.2,0.440652,5.695938
0,15.6,0.462546,5.498293
0,16.0,0.486766,5.304277
0,16.4,0.513732,5.114299
0,16.8,0.543973,4.928851
0,17.2,0.578184,4.748523
0,17.6,0.617287,4.574048
0,18.0,0.662544,4.406343
0,18.4,0.715742,4.246592
0,18.8,0.7795,4.096364
0,19.2,0.85783,3.957823
0,19.6,0.957129,3.834076
0,20.0,1.087919,3.729782
0,20.4,1.267328,3.652134
0,20.8,1.520074,3.612056
0,21.2,1.869613,3.624212
0,21.6,2.312396,3.703113
0,22.0,2.799814,3.855968
0,22.4,3.260778,4.078834
0,22.8,3.637709,4.358794
0,23.2,3.899327,4.678238
0,23.6,4.034578,5.018023
0,24.0,4.042325,5.35896
