id,t,x,y
0,0.0,-0.752759,2.704286
0,0.2,-1.249761,2.451316
0,0.4,-1.677949,2.111515
0,0.6,-2.023122,1.701698
0,0.8,-2.274912,1.240787
0,1.0,-2.427043,0.748975
0,1.2,-2.477416,0.246886
0,1.4,-2.428035,-0.245261
0,1.6,-2.284759,-0.708431
0,1.8,-2.056925,-1.125481
0,2.0,-1.75684,-1.481757
0,2.2,-1.399181,-1.765581
0,2.4,-1.000322,-1.968593
0,2.6,-0.57762,-2.085947
0,2.8,-0.148695,-2.11637
0,3.0,0.269282,-2.062071
0,3.2,0.660242,-1.928513
0,3.4,1.009814,-1.724077
0,3.6,1.305824,-1.45961
0,3.8,1.538689,-1.147904
0,4.0,1.701694,-0.803113
1,0.0,1.391964,0.591951
1,0.2,1.221933,0.839726
1,0.4,1.010342,1.044643
1,0.6,0.76717,1.200295
1,0.8,0.503253,1.30247
1,1.0,0.229822,1.349233
1,1.2,-0.041959,1.34091
1,1.4,-0.301428,1.279989
1,1.6,-0.538827,1.170938
1,1.8,-0.74565,1.019948
1,2.0,-0.914935,0.834622
1,2.2,-1.041471,0.623621
1,2.4,-1.12194,0.396279
1,2.6,-1.154974,0.162211
1,2.8,-1.141126,-0.069081
1,3.0,-1.082784,-0.288579
1,3.2,-0.983992,-0.48808
1,3.4,-0.850238,-0.660496
1,3.6,-0.688171,-0.800082
1,3.8,-0.505296,-0.902618
1,4.0,-0.309649,-0.965508
2,0.0,-2.063888,-2.064033
2,0.2,-1.580762,-2.384744
2,0.4,-1.054189,-2.598758
2,0.6,-0.506654,-2.701812
2,0.8,0.039409,-2.694188
2,1.0,0.562506,-2.580528
2,1.2,1.042892,-2.369475
2,1.4,1.463281,-2.073178
2,1.6,1.809434,-1.706672
2,1.8,2.070599,-1.287177
2,2.0,2.2398,-0.833328
2,2.2,2.313966,-0.364382
2,2.4,2.293895,0.100558
2,2.6,2.184074,0.543299
2,2.8,1.992357,0.947238
2,3.0,1.729522,1.297953
2,3.2,1.408731,1.583688
2,3.4,1.044917,1.795714
2,3.6,0.654126,1.928553
2,3.8,0.252841,1.980067
2,4.0,-0.14269,1.95141
3,0.0,-2.651498,2.197057
3,0.2,-2.975032,1.594293
3,0.4,-3.168459,0.952239
3,0.6,-3.229249,0.297775
3,0.8,-3.160201,-0.34278
3,1.0,-2.969132,-0.944692
3,1.2,-2.668368,-1.485717
3,1.4,-2.27408,-1.94689
3,1.6,-1.805497,-2.313141
3,1.8,-1.284026,-2.573735
3,2.0,-0.732323,-2.72253
3,2.2,-0.173348,-2.758037
3,2.4,0.370553,-2.683296
3,2.6,0.878502,-2.50558
3,2.8,1.331862,-2.23594
3,3.0,1.71488,-1.888624
3,3.2,2.015196,-1.480384
3,3.4,2.224201,-1.029722
3,3.6,2.337225,-0.556089
3,3.8,2.35357,-0.079078
3,4.0,2.276383,0.382351
4,0.0,0.60669,1.248435
4,0.2,0.339712,1.317466
4,0.4,0.069794,1.331792
4,0.6,-0.192296,1.292992
4,0.8,-0.436519,1.204681
4,1.0,-0.653939,1.072286
4,1.2,-0.837023,0.90276
4,1.4,-0.979893,0.704251
4,1.6,-1.078486,0.485729
4,1.8,-1.130648,0.256604
4,2.0,-1.136139,0.026335
4,2.2,-1.096573,-0.195944
4,2.4,-1.015278,-0.401775
4,2.6,-0.8971,-0.583678
4,2.8,-0.748148,-0.735412
4,3.0,-0.575507,-0.852171
4,3.2,-0.386922,-0.930718
4,3.4,-0.190459,-0.969451
4,3.6,0.005817,-0.968403
4,3.8,0.194169,-0.929175
4,4.0,0.367471,-0.854811
5,0.0,-2.876493,2.819459
5,0.2,-3.312378,2.148397
5,0.4,-3.600437,1.418853
5,0.6,-3.735098,0.661913
5,0.8,-3.717061,-0.091473
5,1.0,-3.553024,-0.811709
5,1.2,-3.255186,-1.471669
5,1.4,-2.840549,-2.047668
5,1.6,-2.330057,-2.520264
5,1.8,-1.747616,-2.874859
5,2.0,-1.119037,-3.102085
5,2.2,-0.470937,-3.197967
5,2.4,0.170338,-3.16387
5,2.6,0.779748,-3.006237
5,2.8,1.334487,-2.736133
5,3.0,1.814806,-2.368628
5,3.2,2.204664,-1.922047
5,3.4,2.492222,-1.417115
5,3.6,2.67014,-0.87605
5,3.8,2.735696,-0.321623
5,4.0,2.690708,0.22376
6,0.0,1.994656,-1.725965
6,0.2,2.252291,-1.269643
6,0.4,2.410931,-0.781101
6,0.6,2.468194,-0.280886
6,0.8,2.425796,0.210803
6,1.0,2.289318,0.674893
6,1.2,2.067836,1.09415
6,1.4,1.773423,1.453783
6,1.6,1.420559,1.741937
6,1.8,1.025463,1.950042
6,2.0,0.605385,2.073021
6,2.2,0.177885,2.10936
6,2.4,-0.239875,2.061021
6,2.6,-0.631788,1.933231
6,2.8,-0.983398,1.73415
6,3.0,-1.282409,1.474431
6,3.2,-1.519081,1.166702
6,3.4,-1.686518,0.82499
6,3.6,-1.780825,0.464115
6,3.8,-1.801149,0.099072
6,4.0,-1.749586,-0.255569
7,0.0,-1.90905,-1.899573
7,0.2,-1.464041,-2.196601
7,0.4,-0.978697,-2.395287
7,0.6,-0.473754,-2.491645
7,0.8,0.030088,-2.485882
7,1.0,0.512988,-2.382232
7,1.2,0.956707,-2.188622
7,1.4,1.345268,-1.916222
7,1.6,1.665499,-1.578873
7,1.8,1.907439,-1.192434
7,2.0,2.06461,-0.774084
7,2.2,2.13413,-0.341585
7,2.4,2.116694,0.087439
7,2.6,2.016399,0.496189
7,2.8,1.840452,0.86933
7,3.0,1.598764,1.193528
7,3.2,1.303452,1.457909
7,3.4,0.968272,1.654382
7,3.6,0.608019,1.777855
7,3.8,0.237893,1.826318
7,4.0,-0.12711,1.800799
8,0.0,-1.174547,0.148539
8,0.2,-1.157267,-0.086028
8,0.4,-1.094989,-0.308002
8,0.6,-0.991936,-0.509116
8,0.8,-0.853772,-0.682251
8,1.0,-0.687329,-0.821669
8,1.2,-0.500285,-0.923192
8,1.4,-0.300828,-0.984297
8,1.6,-0.097319,-1.004157
8,1.8,0.102052,-0.983606
8,2.0,0.289578,-0.925039
8,2.2,0.458322,-0.832259
8,2.4,0.602361,-0.710269
8,2.6,0.716978,-0.565028
8,2.8,0.798802,-0.403181
8,3.0,0.845891,-0.231767
8,3.2,0.857748,-0.057927
8,3.4,0.835285,0.111384
8,3.6,0.780736,0.26966
8,3.8,0.697512,0.411087
8,4.0,0.59002,0.530744
9,0.0,-0.40833,-1.252625
9,0.2,-0.148339,-1.282864
9,0.4,0.107312,-1.261284
9,0.6,0.348705,-1.19077
9,0.8,0.566869,-1.076022
9,1.0,0.754106,-0.923305
9,1.2,0.904239,-0.740134
9,1.4,1.012796,-0.534933
9,1.6,1.077123,-0.316664
9,1.8,1.096415,-0.094456
9,2.0,1.071677,0.122768
9,2.2,1.005612,0.32663
9,2.4,0.902447,0.509607
9,2.6,0.767709,0.665296
9,2.8,0.607953,0.788622
9,3.0,0.430466,0.875987
9,3.2,0.242948,0.925353
9,3.4,0.053194,0.936261
9,3.6,-0.131219,0.909788
9,3.8,-0.303223,0.848446
9,4.0,-0.456515,0.756022
10,0.0,0.671117,-2.163037
10,0.2,1.065931,-1.947257
10,0.4,1.403194,-1.663083
10,0.6,1.671852,-1.324411
10,0.8,1.86399,-0.946745
10,1.0,1.975026,-0.546521
10,1.2,2.003757,-0.140419
10,1.4,1.952276,0.255303
10,1.6,1.82576,0.625432
10,1.8,1.632145,0.956364
10,2.0,1.381703,1.236575
10,2.2,1.086546,1.456993
10,2.4,0.760078,1.611263
10,2.6,0.416412,1.69589
10,2.8,0.069785,1.710265
10,3.0,-0.266006,1.656575
10,3.2,-0.578131,1.539608
10,3.4,-0.855201,1.36646
10,3.6,-1.087654,1.14617
10,3.8,-1.268064,0.889279
10,4.0,-1.391352,0.607362
11,0.0,-1.247132,-0.801829
11,0.2,-1.041929,-1.013144
11,0.4,-0.803648,-1.176186
11,0.6,-0.542991,-1.286414
11,0.8,-0.271124,-1.341546
11,1.0,0.000785,-1.341568
11,1.2,0.262002,-1.28864
11,1.4,0.502636,-1.186926
11,1.6,0.713997,-1.042354
11,1.8,0.88889,-0.86231
11,2.0,1.021843,-0.655292
11,2.2,1.109252,-0.430527
11,2.4,1.149453,-0.197583
11,2.6,1.142711,0.034026
11,2.8,1.091132,0.255211
11,3.0,0.99851,0.457651
11,3.2,0.870111,0.634091
11,3.4,0.712403,0.778586
11,3.6,0.532762,0.886686
11,3.8,0.339137,0.955551
11,4.0,0.139718,0.984002
12,0.0,-0.26358,1.711056
12,0.2,-0.58641,1.592417
12,0.4,-0.873438,1.41558
12,0.6,-1.114738,1.189806
12,0.8,-1.302581,0.925924
12,1.0,-1.431647,0.635844
12,1.2,-1.499148,0.332042
12,1.4,-1.504833,0.027046
