id,t,x,y
0,0.0,11.861663,28.570715
0,1.0,5.248559,29.568237
0,2.0,3.1824846,23.00344
0,3.0,2.889306,16.638802
0,4.0,3.527556,12.203361
0,5.0,5.064582,9.658794
0,6.0,7.538984,8.815012
0,7.0,10.360886,9.758686
0,8.0,11.940627,12.743002
0,9.0,11.031125,17.059835
0,10.0,8.63792,20.110977
0,11.0,6.6322145,20.144358
0,12.0,5.6537166,18.154305
0,13.0,5.5535545,15.77286
0,14.0,6.105088,13.940885
0,15.0,7.0879593,13.026236
0,16.0,8.166377,13.119877
0,17.0,8.879461,14.111215
0,18.0,8.895697,15.584721
0,19.0,8.309019,16.839497
0,20.0,7.5420423,17.302841
0,21.0,6.9714937,16.934414
0,22.0,6.750639,16.1132
0,23.0,6.8646684,15.280415
0,24.0,7.209178,14.738324
0,25.0,7.6266236,14.616882
0,26.0,7.943853,14.890048
0,27.0,8.040259,15.396896
0,28.0,7.9098797,15.896748
0,29.0,7.6540217,16.178726
0,30.0,7.4069176,16.16511
0,31.0,7.2638454,15.925234
0,32.0,7.255626,15.605566
0,33.0,7.357764,15.3470745
0,34.0,7.511302,15.235418
0,35.0,7.6475544,15.285408
0,36.0,7.7146645,15.448925
0,37.0,7.6974344,15.641114
0,38.0,7.619013,15.778996
0,39.0,7.5235996,15.816686
0,40.0,7.452757,15.758833
0,41.0,7.429166,15.648085
0,42.0,7.452506,15.538949
0,43.0,7.5046453,15.473795
0,44.0,7.559737,15.469529
0,45.0,7.5953627,15.516312
0,46.0,7.600878,15.586093
0,47.0,7.5798044,15.646728
0,48.0,7.5457816,15.675675
0,49.0,7.5149364,15.667503
0,50.0,7.498847,15.632776
1,0.0,23.36684,3.147295
1,1.0,22.26474,4.554141
1,2.0,20.906225,6.2187676
1,3.0,19.369328,7.928949
1,4.0,17.815468,9.393705
1,5.0,16.428902,10.378319
1,6.0,15.345138,10.814654
1,7.0,14.617117,10.798477
1,8.0,14.225602,10.503859
1,9.0,14.10773,10.098474
1,10.0,14.182688,9.702032
1,11.0,14.369239,9.381457
1,12.0,14.596934,9.162512
1,13.0,14.812805,9.044048
1,14.0,14.983962,9.009577
1,15.0,15.096417,9.035532
1,16.0,15.151126,9.097044
1,17.0,15.158695,9.17193
1,18.0,15.134182,9.243191
1,19.0,15.092905,9.300083
1,20.0,15.047695,9.337908
1,21.0,15.007565,9.356829
1,22.0,14.977509,9.360204
1,23.0,14.959074,9.352898
1,24.0,14.951305,9.339903
1,25.0,14.951782,9.325426
1,26.0,14.957542,9.312445
1,27.0,14.965765,9.302633
1,28.0,14.974197,9.296542
1,29.0,14.9813385,9.2939005
1,30.0,14.98643,9.293949
1,31.0,14.989326,9.295741
1,32.0,14.990301,9.298365
1,33.0,14.9898615,9.301086
1,34.0,14.988576,9.303412
1,35.0,14.986957,9.305086
1,36.0,14.9853945,9.306052
1,37.0,14.984134,9.306394
1,38.0,14.983283,9.306272
1,39.0,14.982843,9.305868
1,40.0,14.982745,9.30535
1,41.0,14.982885,9.304846
1,42.0,14.983157,9.304435
1,43.0,14.983469,9.304154
1,44.0,14.983754,9.304007
1,45.0,14.983973,9.30397
1,46.0,14.984112,9.304012
1,47.0,14.984176,9.304098
1,48.0,14.9841795,9.304198
1,49.0,14.984143,9.304291
1,50.0,14.984088,9.304362
2,0.0,11.395506,4.360203
2,1.0,15.761702,4.705435
2,2.0,18.827127,5.9875555
2,3.0,19.789112,8.319212
2,4.0,18.817526,11.536199
2,5.0,16.65572,14.904702
2,6.0,14.223767,17.386177
2,7.0,12.21705,18.39649
2,8.0,10.913394,18.117455
2,9.0,10.291176,17.12272
2,10.0,10.211541,15.948373
2,11.0,10.509732,14.933556
2,12.0,11.017881,14.23697
2,13.0,11.574124,13.895517
2,14.0,12.042385,13.870823
2,15.0,12.337254,14.078648
2,16.0,12.436847,14.411282
2,17.0,12.374353,14.760869
2,18.0,12.213807,15.042705
2,19.0,12.023257,15.210918
2,20.0,11.855844,15.260443
2,21.0,11.741972,15.216502
2,22.0,11.690199,15.118601
2,23.0,11.692729,15.006093
2,24.0,11.732353,14.908992
2,25.0,11.788965,14.84432
2,26.0,11.84472,14.816597
2,27.0,11.887272,14.820789
2,28.0,11.910944,14.846305
2,29.0,11.916068,14.880963
2,30.0,11.907116,14.914172
2,31.0,11.890417,14.938847
2,32.0,11.872127,14.9519825
2,33.0,11.8568735,14.954116
2,34.0,11.847175,14.948126
2,35.0,11.843522,14.937854
2,36.0,11.844894,14.926934
2,37.0,11.849449,14.9180355
2,38.0,11.855187,14.912551
2,39.0,11.860451,14.910678
2,40.0,11.864194,14.911739
2,41.0,11.866034,14.9146
2,42.0,11.866133,14.918067
2,43.0,11.865,14.921171
2,44.0,11.863266,14.923321
2,45.0,11.861507,14.924319
2,46.0,11.860129,14.924293
2,47.0,11.859328,14.923559
2,48.0,11.859108,14.922501
2,49.0,11.859343,14.921455
2,50.0,11.859839,14.920656
3,0.0,26.029999,19.075645
3,1.0,12.819219,30.708675
3,2.0,7.044801,32.480606
3,3.0,4.790829,28.657158
3,4.0,4.133258,23.689016
3,5.0,4.328383,19.396894
3,6.0,5.140183,16.28091
3,7.0,6.448736,14.389741
3,8.0,8.023262,13.6498785
3,9.0,9.452425,13.943812
3,10.0,10.31338,15.070589
3,11.0,10.4356,16.678556
3,12.0,9.972592,18.288197
3,13.0,9.243647,19.460966
3,14.0,8.536992,19.987225
3,15.0,8.017682,19.922628
3,16.0,7.737215,19.478743
3,17.0,7.677232,18.892242
3,18.0,7.783972,18.348629
3,19.0,7.98786,17.959528
3,20.0,8.217026,17.767647
3,21.0,8.410646,17.761162
3,22.0,8.53074,17.890959
3,23.0,8.567411,18.089607
3,24.0,8.534976,18.290688
3,25.0,8.461478,18.444687
3,26.0,8.377008,18.527369
3,27.0,8.305199,18.539173
3,28.0,8.259416,18.49796
3,29.0,8.242848,18.429235
3,30.0,8.250927,18.35754
3,31.0,8.274657,18.300846
3,32.0,8.303934,18.268314
3,33.0,8.330186,18.260748
3,34.0,8.347974,18.272806
3,35.0,8.355432,18.296005
3,36.0,8.353723,18.321604
3,37.0,8.345896,18.342773
3,38.0,8.335596,18.355701
3,39.0,8.326009,18.359653
3,40.0,8.319225,18.356266
3,41.0,8.31606,18.348467
3,42.0,8.316229,18.3394
3,43.0,8.318731,18.331602
3,44.0,8.322297,18.326574
3,45.0,8.3257675,18.324724
3,46.0,8.328339,18.32558
3,47.0,8.329651,18.328161
3,48.0,8.329753,18.331352
3,49.0,8.328968,18.334213
3,50.0,8.32774,18.336153
4,0.0,10.596043,2.843192
4,1.0,15.519476,4.1761513
4,2.0,16.466188,7.580927
4,3.0,13.830448,12.857054
4,4.0,10.096516,17.224321
4,5.0,7.40643,18.340635
4,6.0,6.150672,17.054844
4,7.0,5.94147,15.111568
4,8.0,6.40161,13.5319605
4,9.0,7.2007666,12.681082
4,10.0,7.9781575,12.574317
4,11.0,8.426545,13.023814
4,12.0,8.45081,13.709205
4,13.0,8.1832905,14.294009
4,14.0,7.84018,14.575997
4,15.0,7.5826406,14.548972
4,16.0,7.4733467,14.33746
4,17.0,7.497681,14.090742
4,18.0,7.5999694,13.914005
4,19.0,7.71574,13.848025
