variable,category,statistic,value,iqr_obs
bun,distribution,mean,35.819,25.05
bun,distribution,std,11.408,10.381651
bun,distribution,iqr,16.614,15.75
bun,distribution,skewness,0.351,0.805459
bun,distribution,outlier_frac,0.0333,0.05
bun,autocorrelation,acf_lag1,0.7942,0.125232
bun,autocorrelation,acf_first_zero,5.54,3.0
bun,autocorrelation,dominant_freq,0.052346,0.01
bun,autocorrelation,spectral_entropy,1.1297,0.708896
bun,stationarity,statav,0.808,0.154565
bun,stationarity,std_first_diff,4.107,2.644714
bun,entropy,perm_entropy_m3,1.2981,0.368438
bun,entropy,lz_complexity,0.8406,0.365218
bun,scaling,dfa_alpha,1.9163,0.945346
bun,scaling,spectral_slope,-2.0519,0.699138
bun,model_fit,ar_coef_1,1.0587,0.432674
bun,model_fit,exp_smooth_alpha,0.9613,0.0
bun,model_fit,turning_point_rate,0.2248,0.135714
bun,trend,spearman_trend,-0.0369,1.339169
bun,volatility,mean_crossing_rate,0.1079,0.102381
bun,volatility,mean_abs_diff,3.046,1.977273
creatinine,distribution,mean,2.166,1.610496
creatinine,distribution,std,0.677,0.652792
creatinine,distribution,iqr,0.947,0.88125
creatinine,distribution,skewness,0.421,0.837183
creatinine,distribution,outlier_frac,0.0371,0.052632
creatinine,autocorrelation,acf_lag1,0.719,0.22796
creatinine,autocorrelation,acf_first_zero,5.18,3.0
creatinine,autocorrelation,dominant_freq,0.05937,0.008333
creatinine,autocorrelation,spectral_entropy,1.2297,0.704549
creatinine,stationarity,statav,0.7737,0.180456
creatinine,stationarity,std_first_diff,0.291,0.227577
creatinine,entropy,perm_entropy_m3,1.3972,0.309858
creatinine,entropy,lz_complexity,0.876,0.375724
creatinine,scaling,dfa_alpha,1.7509,0.942965
creatinine,scaling,spectral_slope,-1.8983,0.887535
creatinine,model_fit,ar_coef_1,0.8456,0.586003
creatinine,model_fit,exp_smooth_alpha,0.8778,0.142333
creatinine,model_fit,turning_point_rate,0.2598,0.144162
creatinine,trend,spearman_trend,-0.2623,1.021435
creatinine,volatility,mean_crossing_rate,0.142,0.131351
creatinine,volatility,mean_abs_diff,0.207,0.158301
potassium,distribution,mean,4.168,0.524545
potassium,distribution,std,0.458,0.20606
potassium,distribution,iqr,0.603,0.325
potassium,distribution,skewness,0.293,0.808897
potassium,distribution,outlier_frac,0.0376,0.055556
potassium,autocorrelation,acf_lag1,0.4611,0.343955
potassium,autocorrelation,acf_first_zero,3.51,3.0
potassium,autocorrelation,dominant_freq,0.098943,0.052381
potassium,autocorrelation,spectral_entropy,1.6241,0.488486
potassium,stationarity,statav,0.6301,0.265524
potassium,stationarity,std_first_diff,0.412,0.169799
potassium,entropy,perm_entropy_m3,1.6346,0.135155
potassium,entropy,lz_complexity,1.1817,0.311303
potassium,scaling,dfa_alpha,1.2556,0.967883
potassium,scaling,spectral_slope,-1.2462,0.93273
potassium,model_fit,ar_coef_1,0.4678,0.405219
potassium,model_fit,exp_smooth_alpha,0.5801,0.612931
potassium,model_fit,turning_point_rate,0.4591,0.1417
potassium,trend,spearman_trend,-0.1161,0.720162
potassium,volatility,mean_crossing_rate,0.2875,0.19195
potassium,volatility,mean_abs_diff,0.306,0.118713
bun__potassium,cross_variable,level_corr,0.137,0.665336
bun__potassium,cross_variable,diff_corr,0.1177,0.330672
creatinine__bun,cross_variable,level_corr,0.6017,0.466055
creatinine__bun,cross_variable,diff_corr,0.5443,0.365721
creatinine__potassium,cross_variable,level_corr,0.1919,0.620059
creatinine__potassium,cross_variable,diff_corr,0.1605,0.371992
