variable,category,statistic,value,iqr_obs
bun,distribution,mean,35.472,24.285119
bun,distribution,std,11.251,9.404258
bun,distribution,iqr,16.326,14.4375
bun,distribution,skewness,0.389,0.807743
bun,distribution,outlier_frac,0.0346,0.05
bun,distribution,value_range,36.426,29.0
bun,autocorrelation,acf_lag1,0.7934,0.130395
bun,autocorrelation,acf_lag2,0.5933,0.245174
bun,autocorrelation,acf_lag3,0.4118,0.323456
bun,autocorrelation,acf_first_zero,5.5,3.0
bun,autocorrelation,dominant_freq,0.052235,0.01
bun,autocorrelation,spectral_entropy,1.1342,0.689582
bun,stationarity,statav,0.8049,0.164206
bun,stationarity,std_first_diff,4.079,2.550627
bun,entropy,perm_entropy_m3,1.2983,0.377307
bun,entropy,lz_complexity,0.8477,0.381858
bun,scaling,dfa_alpha,1.8554,0.914201
bun,scaling,spectral_slope,-2.0802,0.743668
bun,model_fit,ar_coef_1,1.0646,0.432245
bun,model_fit,exp_smooth_alpha,0.9611,0.0
bun,model_fit,turning_point_rate,0.2234,0.137566
bun,trend,spearman_trend,-0.0502,1.288235
bun,volatility,mean_crossing_rate,0.1082,0.102381
bun,volatility,mean_abs_diff,2.995,1.86968
creatinine,distribution,mean,2.159,1.584524
creatinine,distribution,std,0.674,0.639439
creatinine,distribution,iqr,0.951,0.925
creatinine,distribution,skewness,0.395,0.824181
creatinine,distribution,outlier_frac,0.0383,0.052632
creatinine,distribution,value_range,2.228,2.0
creatinine,autocorrelation,acf_lag1,0.7121,0.233661
creatinine,autocorrelation,acf_lag2,0.5276,0.341876
creatinine,autocorrelation,acf_lag3,0.3462,0.36082
creatinine,autocorrelation,acf_first_zero,5.14,3.0
creatinine,autocorrelation,dominant_freq,0.06037,0.008333
creatinine,autocorrelation,spectral_entropy,1.2299,0.706554
creatinine,stationarity,statav,0.7705,0.185902
creatinine,stationarity,std_first_diff,0.289,0.224377
creatinine,entropy,perm_entropy_m3,1.3879,0.314791
creatinine,entropy,lz_complexity,0.8786,0.375724
creatinine,scaling,dfa_alpha,1.7871,1.083139
creatinine,scaling,spectral_slope,-1.8962,0.931732
creatinine,model_fit,ar_coef_1,0.8464,0.590448
creatinine,model_fit,exp_smooth_alpha,0.8738,0.142638
creatinine,model_fit,turning_point_rate,0.2633,0.142857
creatinine,trend,spearman_trend,-0.249,1.013959
creatinine,volatility,mean_crossing_rate,0.1446,0.137845
creatinine,volatility,mean_abs_diff,0.205,0.154167
potassium,distribution,mean,4.164,0.518054
potassium,distribution,std,0.455,0.205156
potassium,distribution,iqr,0.596,0.3
potassium,distribution,skewness,0.336,0.806753
potassium,distribution,outlier_frac,0.0391,0.056349
potassium,distribution,value_range,1.649,0.7
potassium,autocorrelation,acf_lag1,0.4536,0.356008
potassium,autocorrelation,acf_lag2,0.254,0.385071
potassium,autocorrelation,acf_lag3,0.1159,0.341813
potassium,autocorrelation,acf_first_zero,3.47,3.0
potassium,autocorrelation,dominant_freq,0.102169,0.052381
potassium,autocorrelation,spectral_entropy,1.6406,0.460931
potassium,stationarity,statav,0.6262,0.266627
potassium,stationarity,std_first_diff,0.412,0.16749
potassium,entropy,perm_entropy_m3,1.6357,0.127229
potassium,entropy,lz_complexity,1.195,0.295661
potassium,scaling,dfa_alpha,1.2495,0.93511
potassium,scaling,spectral_slope,-1.253,0.910033
potassium,model_fit,ar_coef_1,0.4638,0.4069
potassium,model_fit,exp_smooth_alpha,0.578,0.622467
potassium,model_fit,turning_point_rate,0.4601,0.155206
potassium,trend,spearman_trend,-0.1307,0.714682
potassium,volatility,mean_crossing_rate,0.2872,0.187166
potassium,volatility,mean_abs_diff,0.306,0.116889
bun__potassium,cross_variable,level_corr,0.1258,0.687032
bun__potassium,cross_variable,diff_corr,0.1271,0.338554
bun__potassium,cross_variable,ccf_lag1,0.0316,0.687715
creatinine__bun,cross_variable,level_corr,0.6171,0.460058
creatinine__bun,cross_variable,diff_corr,0.5494,0.354557
creatinine__bun,cross_variable,ccf_lag1,0.5592,0.523761
creatinine__potassium,cross_variable,level_corr,0.1969,0.622199
creatinine__potassium,cross_variable,diff_corr,0.1738,0.385763
creatinine__potassium,cross_variable,ccf_lag1,0.0779,0.586736
