variable,category,statistic,value,iqr_obs
effector,distribution,mean,0.784,0.389368
effector,distribution,std,0.416,0.543862
effector,distribution,iqr,0.449,0.495136
effector,distribution,skewness,0.616,1.562768
effector,distribution,outlier_frac,0.061,0.05198
effector,distribution,value_range,1.335,1.864047
effector,autocorrelation,acf_lag1,0.9648,0.016992
effector,autocorrelation,acf_lag2,0.9286,0.034458
effector,autocorrelation,acf_lag3,0.8915,0.051021
effector,autocorrelation,acf_first_zero,NaN,NaN
effector,autocorrelation,dominant_freq,0.009901,0.0
effector,autocorrelation,spectral_entropy,1.4446,0.441013
effector,stationarity,statav,0.9184,0.057032
effector,stationarity,std_first_diff,0.016,0.025232
effector,entropy,perm_entropy_m3,0.129,0.16912
effector,entropy,lz_complexity,0.2027,0.0
effector,scaling,dfa_alpha,2.0746,0.036142
effector,scaling,spectral_slope,-1.8874,0.046541
effector,model_fit,ar_coef_1,2.8918,0.112939
effector,model_fit,exp_smooth_alpha,0.9996,0.0
effector,model_fit,turning_point_rate,0.002,0.0
effector,trend,spearman_trend,-0.3691,1.922251
effector,volatility,mean_crossing_rate,0.0107,0.0
effector,volatility,mean_abs_diff,0.013,0.018076
initiator,distribution,mean,0.118,0.211331
initiator,distribution,std,0.064,0.108411
initiator,distribution,iqr,0.099,0.183028
initiator,distribution,skewness,0.957,1.622001
initiator,distribution,outlier_frac,0.0588,0.09901
initiator,distribution,value_range,0.218,0.397185
initiator,autocorrelation,acf_lag1,0.9765,0.018101
initiator,autocorrelation,acf_lag2,0.9452,0.028073
initiator,autocorrelation,acf_lag3,0.9074,0.037291
initiator,autocorrelation,acf_first_zero,19.0,NaN
initiator,autocorrelation,dominant_freq,0.009901,0.0
initiator,autocorrelation,spectral_entropy,1.3792,0.475203
initiator,stationarity,statav,0.8856,0.095841
initiator,stationarity,std_first_diff,0.002,0.00096
initiator,entropy,perm_entropy_m3,0.5198,0.956405
initiator,entropy,lz_complexity,0.2126,0.0
initiator,scaling,dfa_alpha,1.8285,0.449812
initiator,scaling,spectral_slope,-2.4703,1.115491
initiator,model_fit,ar_coef_1,2.8333,0.132086
initiator,model_fit,exp_smooth_alpha,0.9976,0.004864
initiator,model_fit,turning_point_rate,0.0066,0.009901
initiator,trend,spearman_trend,-0.2748,1.989035
initiator,volatility,mean_crossing_rate,0.0131,0.01
initiator,volatility,mean_abs_diff,0.002,0.003771
regulator,distribution,mean,1.221,1.888612
regulator,distribution,std,0.416,0.543862
regulator,distribution,iqr,0.449,0.495136
regulator,distribution,skewness,-0.616,1.56277
regulator,distribution,outlier_frac,0.061,0.05198
regulator,distribution,value_range,1.335,1.864048
regulator,autocorrelation,acf_lag1,0.9648,0.016992
regulator,autocorrelation,acf_lag2,0.9286,0.034457
regulator,autocorrelation,acf_lag3,0.8915,0.051021
regulator,autocorrelation,acf_first_zero,NaN,NaN
regulator,autocorrelation,dominant_freq,0.009901,0.0
regulator,autocorrelation,spectral_entropy,1.4446,0.441012
regulator,stationarity,statav,0.9184,0.057032
regulator,stationarity,std_first_diff,0.016,0.025232
regulator,entropy,perm_entropy_m3,0.0968,0.0
regulator,entropy,lz_complexity,0.2027,0.0
regulator,scaling,dfa_alpha,2.0746,0.036139
regulator,scaling,spectral_slope,-1.8874,0.046541
regulator,model_fit,ar_coef_1,2.8916,0.112923
regulator,model_fit,exp_smooth_alpha,0.9996,0.0
regulator,model_fit,turning_point_rate,0.002,0.0
regulator,trend,spearman_trend,0.3691,1.922251
regulator,volatility,mean_crossing_rate,0.0107,0.0
regulator,volatility,mean_abs_diff,0.013,0.018076
initiator__effector,cross_variable,level_corr,0.9057,0.07928
initiator__effector,cross_variable,diff_corr,0.4747,0.352271
initiator__effector,cross_variable,ccf_lag1,0.9078,0.08186
initiator__regulator,cross_variable,level_corr,-0.9057,0.07928
initiator__regulator,cross_variable,diff_corr,-0.4747,0.352248
initiator__regulator,cross_variable,ccf_lag1,-0.9078,0.08186
regulator__effector,cross_variable,level_corr,-1.0,0.0
regulator__effector,cross_variable,diff_corr,-0.9999,4.1e-05
regulator__effector,cross_variable,ccf_lag1,-0.9997,1.3e-05
