variable,category,statistic,value,iqr_obs
A,distribution,mean,1.556,0.019273
A,distribution,std,0.952,0.046109
A,distribution,iqr,1.658,0.200578
A,distribution,skewness,0.429,0.033527
A,distribution,outlier_frac,0.001,0.0
A,distribution,value_range,2.926,0.044041
A,autocorrelation,acf_lag1,0.1113,0.01074
A,autocorrelation,acf_lag2,-0.7963,0.010323
A,autocorrelation,acf_lag3,-0.484,0.026837
A,autocorrelation,acf_first_zero,1.0,0.0
A,autocorrelation,dominant_freq,0.215686,0.0
A,autocorrelation,spectral_entropy,1.1808,0.501876
A,stationarity,statav,0.114,0.029692
A,stationarity,std_first_diff,1.272,0.065988
A,entropy,perm_entropy_m3,1.6148,0.060778
A,entropy,lz_complexity,0.8078,0.222448
A,scaling,dfa_alpha,0.2521,0.039048
A,scaling,spectral_slope,0.9558,1.301885
A,model_fit,ar_coef_1,-0.4968,0.027441
A,model_fit,exp_smooth_alpha,0.0,0.0
A,model_fit,turning_point_rate,0.4262,0.019608
A,trend,spearman_trend,-0.0642,0.053054
A,volatility,mean_crossing_rate,0.4482,0.02
A,volatility,mean_abs_diff,1.076,0.070464
Gi,distribution,mean,2.69,0.02939
Gi,distribution,std,2.097,0.11296
Gi,distribution,iqr,3.297,0.323659
Gi,distribution,skewness,0.769,0.034455
Gi,distribution,outlier_frac,0.0475,0.019608
Gi,distribution,value_range,6.658,0.170797
Gi,autocorrelation,acf_lag1,0.0484,0.009396
Gi,autocorrelation,acf_lag2,-0.7062,0.011943
Gi,autocorrelation,acf_lag3,-0.4625,0.017701
Gi,autocorrelation,acf_first_zero,1.0,0.0
Gi,autocorrelation,dominant_freq,0.215686,0.0
Gi,autocorrelation,spectral_entropy,1.3586,0.551703
Gi,stationarity,statav,0.1033,0.047132
Gi,stationarity,std_first_diff,2.897,0.155367
Gi,entropy,perm_entropy_m3,1.618,0.047584
Gi,entropy,lz_complexity,0.8092,0.111224
Gi,scaling,dfa_alpha,0.2535,0.026571
Gi,scaling,spectral_slope,0.9433,0.589761
Gi,model_fit,ar_coef_1,-0.5372,0.018843
Gi,model_fit,exp_smooth_alpha,0.0,0.0
Gi,model_fit,turning_point_rate,0.4203,0.019608
Gi,trend,spearman_trend,-0.0947,0.054412
Gi,volatility,mean_crossing_rate,0.443,0.0
Gi,volatility,mean_abs_diff,2.356,0.120948
Gp,distribution,mean,3.101,0.067836
Gp,distribution,std,4.264,0.224985
Gp,distribution,iqr,4.319,0.745857
Gp,distribution,skewness,1.426,0.041703
Gp,distribution,outlier_frac,0.0806,0.039216
Gp,distribution,value_range,14.432,0.703188
Gp,autocorrelation,acf_lag1,-0.1201,0.012132
Gp,autocorrelation,acf_lag2,-0.4573,0.017968
Gp,autocorrelation,acf_lag3,-0.3737,0.016561
Gp,autocorrelation,acf_first_zero,3.0,0.0
Gp,autocorrelation,dominant_freq,0.215686,0.0
Gp,autocorrelation,spectral_entropy,1.789,0.457998
Gp,stationarity,statav,0.0952,0.021717
Gp,stationarity,std_first_diff,6.401,0.387154
Gp,entropy,perm_entropy_m3,1.6678,0.021703
Gp,entropy,lz_complexity,0.7452,0.111224
Gp,scaling,dfa_alpha,0.2398,0.044166
Gp,scaling,spectral_slope,1.2952,0.44823
Gp,model_fit,ar_coef_1,-0.5527,0.034188
Gp,model_fit,exp_smooth_alpha,0.0,0.0
Gp,model_fit,turning_point_rate,0.4301,0.0
Gp,trend,spearman_trend,-0.1882,0.033869
Gp,volatility,mean_crossing_rate,0.4445,0.0
Gp,volatility,mean_abs_diff,4.482,0.273025
A__Gi,cross_variable,level_corr,0.8266,0.015068
A__Gi,cross_variable,diff_corr,0.7333,0.028836
A__Gi,cross_variable,ccf_lag1,-0.3575,0.017695
Gp__A,cross_variable,level_corr,-0.0425,0.020136
Gp__A,cross_variable,diff_corr,0.075,0.051621
Gp__A,cross_variable,ccf_lag1,0.9026,0.012197
Gp__Gi,cross_variable,level_corr,0.4634,0.028937
Gp__Gi,cross_variable,diff_corr,0.5961,0.075846
Gp__Gi,cross_variable,ccf_lag1,0.8855,0.009556
