variable,category,statistic,value,iqr_obs
activator,distribution,mean,1.669,0.077496
activator,distribution,std,1.338,0.030599
activator,distribution,iqr,2.388,0.173675
activator,distribution,skewness,0.682,0.076685
activator,distribution,outlier_frac,0.0007,0.0
activator,distribution,value_range,3.774,0.155972
activator,autocorrelation,acf_lag1,0.9424,0.015029
activator,autocorrelation,acf_lag2,0.8289,0.037378
activator,autocorrelation,acf_lag3,0.6849,0.043851
activator,autocorrelation,acf_first_zero,6.51,1.0
activator,autocorrelation,dominant_freq,0.029827,0.0
activator,autocorrelation,spectral_entropy,1.6603,0.156359
activator,stationarity,statav,0.3039,0.245365
activator,stationarity,std_first_diff,0.405,0.034046
activator,entropy,perm_entropy_m3,0.7842,0.063176
activator,entropy,lz_complexity,0.4021,0.0
activator,scaling,dfa_alpha,1.6719,0.098462
activator,scaling,spectral_slope,-2.0957,0.513232
activator,model_fit,ar_coef_1,1.7273,0.083131
activator,model_fit,exp_smooth_alpha,1.0,0.0
activator,model_fit,turning_point_rate,0.0671,0.009901
activator,trend,spearman_trend,0.2108,0.406162
activator,volatility,mean_crossing_rate,0.0661,0.01
activator,volatility,mean_abs_diff,0.239,0.019032
inhibitor,distribution,mean,4.986,0.238968
inhibitor,distribution,std,1.063,0.332203
inhibitor,distribution,iqr,1.738,0.293671
inhibitor,distribution,skewness,0.447,0.584597
inhibitor,distribution,outlier_frac,0.0272,0.05198
inhibitor,distribution,value_range,3.901,2.119581
inhibitor,autocorrelation,acf_lag1,0.9555,0.019358
inhibitor,autocorrelation,acf_lag2,0.8751,0.018122
inhibitor,autocorrelation,acf_lag3,0.7649,0.022992
inhibitor,autocorrelation,acf_first_zero,8.06,2.0
inhibitor,autocorrelation,dominant_freq,0.029703,0.0
inhibitor,autocorrelation,spectral_entropy,1.4248,0.139565
inhibitor,stationarity,statav,0.2986,0.361527
inhibitor,stationarity,std_first_diff,0.202,0.002805
inhibitor,entropy,perm_entropy_m3,0.9301,0.037716
inhibitor,entropy,lz_complexity,0.3593,0.065923
inhibitor,scaling,dfa_alpha,1.8777,0.078795
inhibitor,scaling,spectral_slope,-2.1373,0.355294
inhibitor,model_fit,ar_coef_1,2.4046,0.126035
inhibitor,model_fit,exp_smooth_alpha,1.0,0.0
inhibitor,model_fit,turning_point_rate,0.0626,0.009901
inhibitor,trend,spearman_trend,-0.1367,0.306904
inhibitor,volatility,mean_crossing_rate,0.0639,0.01
inhibitor,volatility,mean_abs_diff,0.184,0.003217
activator__inhibitor,cross_variable,level_corr,-0.2314,0.19949
activator__inhibitor,cross_variable,diff_corr,0.3458,0.055341
activator__inhibitor,cross_variable,ccf_lag1,-0.0605,0.230204
