variable,category,statistic,value
x,distribution,within_trajectory_mean,0.035
x,distribution,within_trajectory_variance,0.005
x,distribution,within_trajectory_skewness,-0.818
x,autocorrelation,acf_lag1,0.8487
x,autocorrelation,acf_lag3,0.4842
x,autocorrelation,acf_1e_timescale,4.0
x,autocorrelation,dominant_freq_normalized,0.047619
x,stationarity,window_mean_variation_normalized,0.9304
x,stationarity,std_first_diff_within,0.017
x,entropy,perm_entropy_m3,0.8393
x,nonlinear,time_reversal_asym,-0.1612
x,model_fit,ar3_coef_1,1.2232
x,model_fit,ar3_coef_2,0.3805
x,model_fit,turning_point_rate,0.0476
x,trend,spearman_trend,0.5532
y,distribution,within_trajectory_mean,-0.033
y,distribution,within_trajectory_variance,0.007
y,distribution,within_trajectory_skewness,0.345
y,autocorrelation,acf_lag1,0.9174
y,autocorrelation,acf_lag3,0.6546
y,autocorrelation,acf_1e_timescale,5.0
y,autocorrelation,dominant_freq_normalized,0.047619
y,stationarity,window_mean_variation_normalized,0.9009
y,stationarity,std_first_diff_within,0.012
y,entropy,perm_entropy_m3,0.633
y,nonlinear,time_reversal_asym,-0.0605
y,model_fit,ar3_coef_1,1.1552
y,model_fit,ar3_coef_2,0.5112
y,model_fit,turning_point_rate,0.0476
y,trend,spearman_trend,0.9091
x__y,cross_variable,first_diff_spearman_corr,-0.0114
