variable,category,statistic,value,iqr_obs
albumin,distribution,mean,3.381,0.88309
albumin,distribution,std,0.306,0.102031
albumin,distribution,iqr,0.356,0.197175
albumin,distribution,skewness,-0.185,0.263702
albumin,distribution,outlier_frac,0.0106,0.0
albumin,distribution,value_range,0.788,0.4
albumin,autocorrelation,acf_lag1,0.0175,0.431582
albumin,autocorrelation,acf_lag2,-0.1766,0.55241
albumin,autocorrelation,acf_lag3,-0.1149,0.388345
albumin,autocorrelation,acf_first_zero,1.5,1.0
albumin,autocorrelation,dominant_freq,0.27518,0.133333
albumin,autocorrelation,spectral_entropy,0.6768,0.387706
albumin,stationarity,statav,0.6505,0.202942
albumin,stationarity,std_first_diff,0.365,0.236689
albumin,entropy,perm_entropy_m3,0.9543,0.693147
albumin,entropy,lz_complexity,1.4734,0.106843
albumin,scaling,dfa_alpha,NaN,NaN
albumin,scaling,spectral_slope,-1.0461,0.719701
albumin,model_fit,ar_coef_1,0.6944,0.512023
albumin,model_fit,exp_smooth_alpha,0.3913,0.743709
albumin,model_fit,turning_point_rate,0.3394,0.25
albumin,trend,spearman_trend,-0.2555,0.948347
albumin,volatility,mean_crossing_rate,0.5059,0.333333
albumin,volatility,mean_abs_diff,0.279,0.191805
bmi,distribution,mean,14.616,2.948889
bmi,distribution,std,0.769,0.669489
bmi,distribution,iqr,0.884,0.76
bmi,distribution,skewness,-0.049,0.75679
bmi,distribution,outlier_frac,0.0132,0.0
bmi,distribution,value_range,1.83,1.32
bmi,autocorrelation,acf_lag1,0.0164,0.439226
bmi,autocorrelation,acf_lag2,-0.0708,0.26351
bmi,autocorrelation,acf_lag3,-0.0984,0.322288
bmi,autocorrelation,acf_first_zero,1.46,1.0
bmi,autocorrelation,dominant_freq,0.265884,0.158333
bmi,autocorrelation,spectral_entropy,0.7062,0.33265
bmi,stationarity,statav,0.5157,0.600093
bmi,stationarity,std_first_diff,0.917,0.715882
bmi,entropy,perm_entropy_m3,0.6587,1.098612
bmi,entropy,lz_complexity,1.355,0.207519
bmi,scaling,dfa_alpha,NaN,NaN
bmi,scaling,spectral_slope,-0.9737,1.185918
bmi,model_fit,ar_coef_1,0.2414,0.293273
bmi,model_fit,exp_smooth_alpha,0.5427,0.99625
bmi,model_fit,turning_point_rate,0.2471,0.4
bmi,trend,spearman_trend,0.1718,1.013301
bmi,volatility,mean_crossing_rate,0.3536,0.111111
bmi,volatility,mean_abs_diff,0.624,0.591944
crp,distribution,mean,48.873,49.243182
crp,distribution,std,19.16,19.073839
crp,distribution,iqr,22.659,25.228
crp,distribution,skewness,0.183,0.228305
crp,distribution,outlier_frac,0.0153,0.0
crp,distribution,value_range,51.204,59.96
crp,autocorrelation,acf_lag1,0.0594,0.353469
crp,autocorrelation,acf_lag2,-0.1867,0.604996
crp,autocorrelation,acf_lag3,-0.1469,0.263097
crp,autocorrelation,acf_first_zero,1.43,1.0
crp,autocorrelation,dominant_freq,0.252213,0.05
crp,autocorrelation,spectral_entropy,0.5991,0.681728
crp,stationarity,statav,0.7126,0.326039
crp,stationarity,std_first_diff,24.151,20.841262
crp,entropy,perm_entropy_m3,0.9912,0.583887
crp,entropy,lz_complexity,1.4878,0.106843
crp,scaling,dfa_alpha,NaN,NaN
crp,scaling,spectral_slope,-1.4353,1.563281
crp,model_fit,ar_coef_1,0.1289,0.429473
crp,model_fit,exp_smooth_alpha,0.411,0.814568
crp,model_fit,turning_point_rate,0.3767,0.25
crp,trend,spearman_trend,0.4274,0.5
crp,volatility,mean_crossing_rate,0.4312,0.266667
crp,volatility,mean_abs_diff,18.86,16.197333
ferritin,distribution,mean,28.416,18.2
ferritin,distribution,std,13.276,11.788078
ferritin,distribution,iqr,11.782,10.0
ferritin,distribution,skewness,0.401,0.856698
ferritin,distribution,outlier_frac,0.0271,0.0
ferritin,distribution,value_range,34.504,24.0
ferritin,autocorrelation,acf_lag1,-0.0744,0.382999
ferritin,autocorrelation,acf_lag2,-0.077,0.291337
ferritin,autocorrelation,acf_lag3,-0.1351,0.441399
ferritin,autocorrelation,acf_first_zero,1.37,0.0
ferritin,autocorrelation,dominant_freq,0.342641,0.194444
ferritin,autocorrelation,spectral_entropy,0.726,0.632067
ferritin,stationarity,statav,0.5685,0.109884
ferritin,stationarity,std_first_diff,17.638,18.948901
ferritin,entropy,perm_entropy_m3,0.8937,0.583887
ferritin,entropy,lz_complexity,1.4681,0.106843
ferritin,scaling,dfa_alpha,NaN,NaN
ferritin,scaling,spectral_slope,-0.3248,0.825069
ferritin,model_fit,ar_coef_1,0.035,0.818912
ferritin,model_fit,exp_smooth_alpha,0.1293,0.068363
ferritin,model_fit,turning_point_rate,0.3643,0.25
ferritin,trend,spearman_trend,-0.1714,1.3
ferritin,volatility,mean_crossing_rate,0.5562,0.416667
ferritin,volatility,mean_abs_diff,13.546,11.666667
hemoglobin,distribution,mean,10.083,2.83
hemoglobin,distribution,std,0.899,0.648112
hemoglobin,distribution,iqr,1.07,0.9
hemoglobin,distribution,skewness,-0.16,0.718902
hemoglobin,distribution,outlier_frac,0.0075,0.0
hemoglobin,distribution,value_range,2.353,2.1
hemoglobin,autocorrelation,acf_lag1,0.0031,0.556969
hemoglobin,autocorrelation,acf_lag2,-0.031,0.514286
hemoglobin,autocorrelation,acf_lag3,-0.1602,0.365365
hemoglobin,autocorrelation,acf_first_zero,1.94,1.0
hemoglobin,autocorrelation,dominant_freq,0.271477,0.2
hemoglobin,autocorrelation,spectral_entropy,0.6906,0.30996
hemoglobin,stationarity,statav,0.7076,0.262663
hemoglobin,stationarity,std_first_diff,1.086,0.873165
hemoglobin,entropy,perm_entropy_m3,0.8486,0.462098
hemoglobin,entropy,lz_complexity,1.4431,0.106843
hemoglobin,scaling,dfa_alpha,NaN,NaN
hemoglobin,scaling,spectral_slope,-1.1147,1.774917
hemoglobin,model_fit,ar_coef_1,0.2227,0.670473
hemoglobin,model_fit,exp_smooth_alpha,0.5292,1.0
hemoglobin,model_fit,turning_point_rate,0.3541,0.25
hemoglobin,trend,spearman_trend,-0.3382,0.6
hemoglobin,volatility,mean_crossing_rate,0.4832,0.416667
hemoglobin,volatility,mean_abs_diff,0.846,0.5
albumin__ferritin,cross_variable,level_corr,0.3257,0.78566
albumin__ferritin,cross_variable,diff_corr,0.1342,1.132456
albumin__ferritin,cross_variable,ccf_lag1,0.2147,0.710819
bmi__albumin,cross_variable,level_corr,-0.0204,0.900329
bmi__albumin,cross_variable,diff_corr,0.0517,1.371688
bmi__albumin,cross_variable,ccf_lag1,-0.0672,1.128238
bmi__ferritin,cross_variable,level_corr,-0.1168,0.919188
bmi__ferritin,cross_variable,diff_corr,0.0366,0.953546
bmi__ferritin,cross_variable,ccf_lag1,0.0477,1.0
crp__albumin,cross_variable,level_corr,-0.565,0.4
crp__albumin,cross_variable,diff_corr,-0.1842,1.110884
crp__albumin,cross_variable,ccf_lag1,-0.288,0.666667
crp__bmi,cross_variable,level_corr,0.1394,0.613158
crp__bmi,cross_variable,diff_corr,-0.127,1.168161
crp__bmi,cross_variable,ccf_lag1,0.2156,0.67082
crp__ferritin,cross_variable,level_corr,-0.3411,0.779773
crp__ferritin,cross_variable,diff_corr,-0.1412,0.7
crp__ferritin,cross_variable,ccf_lag1,-0.1599,0.653897
crp__hemoglobin,cross_variable,level_corr,-0.1298,0.857143
crp__hemoglobin,cross_variable,diff_corr,-0.0936,1.1
crp__hemoglobin,cross_variable,ccf_lag1,-0.3755,0.429374
hemoglobin__albumin,cross_variable,level_corr,0.3563,0.912466
hemoglobin__albumin,cross_variable,diff_corr,0.4574,0.674057
hemoglobin__albumin,cross_variable,ccf_lag1,-0.0212,1.0
hemoglobin__bmi,cross_variable,level_corr,0.0528,0.895555
hemoglobin__bmi,cross_variable,diff_corr,-0.0815,0.858584
hemoglobin__bmi,cross_variable,ccf_lag1,0.1351,0.9
hemoglobin__ferritin,cross_variable,level_corr,0.3055,0.566929
hemoglobin__ferritin,cross_variable,diff_corr,0.0659,1.0
hemoglobin__ferritin,cross_variable,ccf_lag1,0.1159,0.9
