variable,category,statistic,value,iqr_obs
CRP,distribution,mean,54.288,67.846667
CRP,distribution,std,14.186,16.045123
CRP,distribution,iqr,15.725,17.55
CRP,distribution,skewness,0.128,0.859152
CRP,distribution,outlier_frac,0.0,0.0
CRP,distribution,value_range,31.2,36.25
CRP,autocorrelation,acf_lag1,-0.1882,0.268383
CRP,autocorrelation,acf_lag2,-0.1472,0.431884
CRP,autocorrelation,acf_lag3,-0.1877,0.135127
CRP,autocorrelation,acf_first_zero,1.44,1.0
CRP,autocorrelation,dominant_freq,0.335714,0.15
CRP,autocorrelation,spectral_entropy,0.3734,0.461031
CRP,stationarity,statav,NaN,NaN
CRP,stationarity,std_first_diff,21.184,19.615969
CRP,entropy,perm_entropy_m3,0.5944,0.056633
CRP,entropy,lz_complexity,1.4474,0.106843
CRP,scaling,dfa_alpha,NaN,NaN
CRP,scaling,spectral_slope,NaN,NaN
CRP,model_fit,ar_coef_1,NaN,NaN
CRP,model_fit,exp_smooth_alpha,0.6576,0.527274
CRP,model_fit,turning_point_rate,0.3083,0.2625
CRP,trend,spearman_trend,0.2113,1.175
CRP,volatility,mean_crossing_rate,0.5357,0.291667
CRP,volatility,mean_abs_diff,16.643,17.529167
Ferritin,distribution,mean,152.862,114.275
Ferritin,distribution,std,126.63,129.395728
Ferritin,distribution,iqr,105.533,47.5
Ferritin,distribution,skewness,0.372,1.425818
Ferritin,distribution,outlier_frac,0.0,0.0
Ferritin,distribution,value_range,282.933,305.0
Ferritin,autocorrelation,acf_lag1,-0.1151,0.229906
Ferritin,autocorrelation,acf_lag2,-0.2277,0.334766
Ferritin,autocorrelation,acf_lag3,-0.1681,0.179275
Ferritin,autocorrelation,acf_first_zero,1.14,0.0
Ferritin,autocorrelation,dominant_freq,0.325556,0.191667
Ferritin,autocorrelation,spectral_entropy,0.3987,0.630671
Ferritin,stationarity,statav,NaN,NaN
Ferritin,stationarity,std_first_diff,141.924,155.90737
Ferritin,entropy,perm_entropy_m3,0.5086,0.693147
Ferritin,entropy,lz_complexity,1.4237,0.106843
Ferritin,scaling,dfa_alpha,NaN,NaN
Ferritin,scaling,spectral_slope,NaN,NaN
Ferritin,model_fit,ar_coef_1,NaN,NaN
Ferritin,model_fit,exp_smooth_alpha,0.2514,0.249897
Ferritin,model_fit,turning_point_rate,0.2689,0.4
Ferritin,trend,spearman_trend,-0.0013,1.416228
Ferritin,volatility,mean_crossing_rate,0.4778,0.291667
Ferritin,volatility,mean_abs_diff,100.45,94.208333
IL-6,distribution,mean,59.854,51.433333
IL-6,distribution,std,23.825,22.780269
IL-6,distribution,iqr,22.891,22.2
IL-6,distribution,skewness,0.159,1.075919
IL-6,distribution,outlier_frac,0.0,0.0
IL-6,distribution,value_range,45.781,44.4
IL-6,autocorrelation,acf_lag1,-0.1767,0.200144
IL-6,autocorrelation,acf_lag2,-0.3233,0.200144
IL-6,autocorrelation,acf_lag3,NaN,NaN
IL-6,autocorrelation,acf_first_zero,1.0,NaN
IL-6,autocorrelation,dominant_freq,0.333333,0.0
IL-6,autocorrelation,spectral_entropy,-0.0,0.0
IL-6,stationarity,statav,NaN,NaN
IL-6,stationarity,std_first_diff,24.39,26.233662
IL-6,entropy,perm_entropy_m3,0.0,0.0
IL-6,entropy,lz_complexity,1.4089,0.528321
IL-6,scaling,dfa_alpha,NaN,NaN
IL-6,scaling,spectral_slope,NaN,NaN
IL-6,model_fit,ar_coef_1,NaN,NaN
IL-6,model_fit,exp_smooth_alpha,NaN,NaN
IL-6,model_fit,turning_point_rate,0.1481,0.333333
IL-6,trend,spearman_trend,0.0149,1.366025
IL-6,volatility,mean_crossing_rate,0.5556,0.0
IL-6,volatility,mean_abs_diff,25.413,35.965
Leukocytes,distribution,mean,10.806,3.652583
Leukocytes,distribution,std,1.483,0.696515
Leukocytes,distribution,iqr,1.366,0.66125
Leukocytes,distribution,skewness,0.299,0.581755
Leukocytes,distribution,outlier_frac,0.0,0.0
Leukocytes,distribution,value_range,3.43,2.195
Leukocytes,autocorrelation,acf_lag1,-0.2069,0.434141
Leukocytes,autocorrelation,acf_lag2,-0.1845,0.262165
Leukocytes,autocorrelation,acf_lag3,-0.1236,0.298958
Leukocytes,autocorrelation,acf_first_zero,1.5,1.0
Leukocytes,autocorrelation,dominant_freq,0.322222,0.116667
Leukocytes,autocorrelation,spectral_entropy,0.418,0.543611
Leukocytes,stationarity,statav,NaN,NaN
Leukocytes,stationarity,std_first_diff,2.138,1.55085
Leukocytes,entropy,perm_entropy_m3,0.4932,0.693147
Leukocytes,entropy,lz_complexity,1.4856,0.095903
Leukocytes,scaling,dfa_alpha,NaN,NaN
Leukocytes,scaling,spectral_slope,NaN,NaN
Leukocytes,model_fit,ar_coef_1,NaN,NaN
Leukocytes,model_fit,exp_smooth_alpha,0.7185,0.344362
Leukocytes,model_fit,turning_point_rate,0.2556,0.133333
Leukocytes,trend,spearman_trend,-0.1333,0.95
Leukocytes,volatility,mean_crossing_rate,0.5778,0.25
Leukocytes,volatility,mean_abs_diff,1.68,0.6975
CRP__Ferritin,cross_variable,level_corr,0.1997,1.229099
CRP__Ferritin,cross_variable,diff_corr,0.3166,0.658114
CRP__Ferritin,cross_variable,ccf_lag1,-0.3521,1.5
CRP__IL-6,cross_variable,level_corr,0.3895,0.75
CRP__IL-6,cross_variable,diff_corr,0.0,2.0
CRP__IL-6,cross_variable,ccf_lag1,0.0,2.0
CRP__Leukocytes,cross_variable,level_corr,0.1955,1.787298
CRP__Leukocytes,cross_variable,diff_corr,0.1357,1.15
CRP__Leukocytes,cross_variable,ccf_lag1,-0.1624,1.5
IL-6__Ferritin,cross_variable,level_corr,0.3824,1.5
IL-6__Ferritin,cross_variable,diff_corr,-0.25,2.0
IL-6__Ferritin,cross_variable,ccf_lag1,-0.25,2.0
IL-6__Leukocytes,cross_variable,level_corr,0.2059,2.0
IL-6__Leukocytes,cross_variable,diff_corr,0.5556,0.0
IL-6__Leukocytes,cross_variable,ccf_lag1,-0.1111,2.0
Leukocytes__Ferritin,cross_variable,level_corr,0.0749,1.45
Leukocytes__Ferritin,cross_variable,diff_corr,-0.1274,1.5
