variable,category,statistic,value,iqr_obs
x,distribution,mean,9.73,4.54457
x,distribution,std,2.395,1.46433
x,distribution,iqr,0.676,0.679689
x,distribution,skewness,1.37,3.056509
x,distribution,outlier_frac,0.0686,0.058824
x,autocorrelation,acf_lag1,0.6935,0.297494
x,autocorrelation,acf_first_zero,2.96,1.0
x,autocorrelation,dominant_freq,0.076863,0.039216
x,autocorrelation,spectral_entropy,2.2306,0.691002
x,stationarity,statav,0.2618,0.239546
x,stationarity,std_first_diff,1.321,1.079839
x,entropy,perm_entropy_m3,1.201,0.111035
x,entropy,lz_complexity,0.6685,0.222448
x,scaling,dfa_alpha,1.586,1.008979
x,scaling,spectral_slope,-1.4473,1.458278
x,model_fit,ar_coef_1,1.9268,0.317633
x,model_fit,exp_smooth_alpha,0.99,0.0
x,model_fit,turning_point_rate,0.1516,0.039216
x,trend,spearman_trend,0.0686,0.190045
x,volatility,mean_crossing_rate,0.0986,0.08
x,volatility,mean_abs_diff,0.579,0.373053
y,distribution,mean,13.197,6.798102
y,distribution,std,3.22,2.436788
y,distribution,iqr,1.03,1.330055
y,distribution,skewness,1.019,2.964403
y,distribution,outlier_frac,0.0663,0.019608
y,autocorrelation,acf_lag1,0.7479,0.137292
y,autocorrelation,acf_first_zero,2.94,1.0
y,autocorrelation,dominant_freq,0.075882,0.019608
y,autocorrelation,spectral_entropy,2.1899,0.425298
y,stationarity,statav,0.2275,0.165145
y,stationarity,std_first_diff,1.668,1.2692
y,entropy,perm_entropy_m3,1.1922,0.115728
y,entropy,lz_complexity,0.6851,0.111224
y,scaling,dfa_alpha,1.7,0.782116
y,scaling,spectral_slope,-1.7055,0.987296
y,model_fit,ar_coef_1,1.8407,0.373315
y,model_fit,exp_smooth_alpha,0.98,0.0
y,model_fit,turning_point_rate,0.1492,0.039216
y,trend,spearman_trend,0.0294,0.149796
y,volatility,mean_crossing_rate,0.094,0.06
y,volatility,mean_abs_diff,0.823,0.613828
x__y,cross_variable,level_corr,-0.2201,0.154095
x__y,cross_variable,diff_corr,-0.216,0.152917
