variable,category,statistic,value,iqr_obs
x,distribution,mean,16.753,0.71878
x,distribution,std,3.309,2.114607
x,distribution,iqr,1.027,0.699084
x,distribution,skewness,0.687,2.225002
x,distribution,outlier_frac,0.0904,0.039216
x,autocorrelation,acf_lag1,0.7859,0.104495
x,autocorrelation,acf_first_zero,2.61,1.0
x,autocorrelation,dominant_freq,0.078431,0.0
x,autocorrelation,spectral_entropy,1.9884,0.301762
x,stationarity,statav,0.1504,0.140005
x,stationarity,std_first_diff,1.666,1.14123
x,entropy,perm_entropy_m3,1.1777,0.045905
x,entropy,lz_complexity,0.6284,0.111224
x,scaling,dfa_alpha,1.738,0.705783
x,scaling,spectral_slope,-1.8118,0.829294
x,model_fit,ar_coef_1,2.0366,0.249773
x,model_fit,exp_smooth_alpha,1.0,0.0
x,model_fit,turning_point_rate,0.1586,0.0
x,trend,spearman_trend,0.0432,0.213529
x,volatility,mean_crossing_rate,0.1194,0.025
x,volatility,mean_abs_diff,0.894,0.579948
y,distribution,mean,14.233,0.65598
y,distribution,std,2.608,1.683562
y,distribution,iqr,0.874,0.594065
y,distribution,skewness,0.078,2.815659
y,distribution,outlier_frac,0.0875,0.039216
y,autocorrelation,acf_lag1,0.7962,0.102868
y,autocorrelation,acf_first_zero,2.75,1.0
y,autocorrelation,dominant_freq,0.078431,0.0
y,autocorrelation,spectral_entropy,1.9865,0.237688
y,stationarity,statav,0.2033,0.107407
y,stationarity,std_first_diff,1.238,0.733456
y,entropy,perm_entropy_m3,1.1814,0.082047
y,entropy,lz_complexity,0.6507,0.111224
y,scaling,dfa_alpha,1.6879,0.808304
y,scaling,spectral_slope,-1.8247,0.827781
y,model_fit,ar_coef_1,1.9809,0.330002
y,model_fit,exp_smooth_alpha,1.0,0.0
y,model_fit,turning_point_rate,0.1625,0.019608
y,trend,spearman_trend,0.0877,0.22371
y,volatility,mean_crossing_rate,0.1088,0.02
y,volatility,mean_abs_diff,0.677,0.400164
x__y,cross_variable,level_corr,-0.1649,0.109548
x__y,cross_variable,diff_corr,-0.1688,0.078079
