variable,category,statistic,value,iqr_obs
central,distribution,mean,0.349,0.133302
central,distribution,std,0.732,0.216637
central,distribution,iqr,0.216,0.204023
central,distribution,skewness,2.385,0.452665
central,distribution,outlier_frac,0.0797,0.0
central,distribution,value_range,2.927,0.838502
central,autocorrelation,acf_lag1,0.9549,0.015442
central,autocorrelation,acf_lag2,0.8802,0.039438
central,autocorrelation,acf_lag3,0.7944,0.065015
central,autocorrelation,acf_first_zero,17.78,1.0
central,autocorrelation,dominant_freq,0.009901,0.0
central,autocorrelation,spectral_entropy,1.9379,0.255952
central,stationarity,statav,0.7617,0.082829
central,stationarity,std_first_diff,0.209,0.071543
central,entropy,perm_entropy_m3,0.4112,0.477652
central,entropy,lz_complexity,0.2637,0.0
central,scaling,dfa_alpha,1.783,0.202217
central,scaling,spectral_slope,-2.5114,0.225233
central,model_fit,ar_coef_1,0.8296,0.152593
central,model_fit,exp_smooth_alpha,1.0,0.0
central,model_fit,turning_point_rate,0.0099,0.0
central,trend,spearman_trend,-0.9409,0.000776
central,volatility,mean_crossing_rate,0.02,0.0
central,volatility,mean_abs_diff,0.059,0.016767
depot,distribution,mean,0.133,0.046026
depot,distribution,std,0.622,0.149095
depot,distribution,iqr,0.001,0.000285
depot,distribution,skewness,6.167,0.964191
depot,distribution,outlier_frac,0.0322,0.009901
depot,distribution,value_range,4.944,0.934522
depot,autocorrelation,acf_lag1,0.6155,0.096091
depot,autocorrelation,acf_lag2,0.3844,0.12081
depot,autocorrelation,acf_lag3,0.2431,0.114076
depot,autocorrelation,acf_first_zero,10.85,2.0
depot,autocorrelation,dominant_freq,0.009901,0.0
depot,autocorrelation,spectral_entropy,3.4236,0.196142
depot,stationarity,statav,0.37,0.062484
depot,stationarity,std_first_diff,0.237,0.068092
depot,entropy,perm_entropy_m3,0.7632,0.07887
depot,entropy,lz_complexity,0.1351,0.0
depot,scaling,dfa_alpha,1.0666,0.237905
depot,scaling,spectral_slope,-0.9991,0.185161
depot,model_fit,ar_coef_1,0.0784,0.171984
depot,model_fit,exp_smooth_alpha,1.0,0.0
depot,model_fit,turning_point_rate,0.0,0.0
depot,trend,spearman_trend,-0.8406,0.086941
depot,volatility,mean_crossing_rate,0.01,0.0
depot,volatility,mean_abs_diff,0.049,0.009345
effector,distribution,mean,1.665,1.435352
effector,distribution,std,0.457,0.465832
effector,distribution,iqr,0.742,1.015638
effector,distribution,skewness,0.267,1.00758
effector,distribution,outlier_frac,0.0285,0.069307
effector,distribution,value_range,1.475,1.278215
effector,autocorrelation,acf_lag1,0.9665,0.022431
effector,autocorrelation,acf_lag2,0.9322,0.046378
effector,autocorrelation,acf_lag3,0.8973,0.075491
effector,autocorrelation,acf_first_zero,18.25,0.25
effector,autocorrelation,dominant_freq,0.009901,0.0
effector,autocorrelation,spectral_entropy,1.2608,0.376541
effector,stationarity,statav,0.9071,0.083188
effector,stationarity,std_first_diff,0.015,0.006769
effector,entropy,perm_entropy_m3,0.3147,0.627881
effector,entropy,lz_complexity,0.2184,0.065923
effector,scaling,dfa_alpha,2.0593,0.075924
effector,scaling,spectral_slope,-1.8293,0.056739
effector,model_fit,ar_coef_1,2.8579,0.089511
effector,model_fit,exp_smooth_alpha,1.0,0.0
effector,model_fit,turning_point_rate,0.0097,0.019802
effector,trend,spearman_trend,0.5177,0.762368
effector,volatility,mean_crossing_rate,0.0125,0.0
effector,volatility,mean_abs_diff,0.016,0.011675
immune,distribution,mean,5.649,1.668886
immune,distribution,std,1.298,0.564613
immune,distribution,iqr,2.04,1.357286
immune,distribution,skewness,-0.511,0.473823
immune,distribution,outlier_frac,0.0317,0.059406
immune,distribution,value_range,4.539,1.547879
immune,autocorrelation,acf_lag1,0.9633,0.03494
immune,autocorrelation,acf_lag2,0.9187,0.076716
immune,autocorrelation,acf_lag3,0.8733,0.114488
immune,autocorrelation,acf_first_zero,13.4,10.0
immune,autocorrelation,dominant_freq,0.010025,0.0
immune,autocorrelation,spectral_entropy,1.2091,0.486432
immune,stationarity,statav,0.819,0.169179
immune,stationarity,std_first_diff,0.142,0.056204
immune,entropy,perm_entropy_m3,0.3926,0.057626
immune,entropy,lz_complexity,0.2431,0.065923
immune,scaling,dfa_alpha,1.5659,0.261885
immune,scaling,spectral_slope,-2.5385,0.89523
immune,model_fit,ar_coef_1,2.1251,0.181187
immune,model_fit,exp_smooth_alpha,1.0,0.0
immune,model_fit,turning_point_rate,0.0105,0.0
immune,trend,spearman_trend,0.8817,0.159289
immune,volatility,mean_crossing_rate,0.0175,0.0025
immune,volatility,mean_abs_diff,0.072,0.027128
central__effector,cross_variable,level_corr,-0.5031,0.659502
central__effector,cross_variable,diff_corr,0.1545,0.991088
central__effector,cross_variable,ccf_lag1,-0.5119,0.620006
central__immune,cross_variable,level_corr,-0.9119,0.082965
central__immune,cross_variable,diff_corr,-0.5463,0.110517
central__immune,cross_variable,ccf_lag1,-0.9391,0.035553
depot__central,cross_variable,level_corr,0.7733,0.093368
depot__central,cross_variable,diff_corr,0.5776,0.08493
depot__central,cross_variable,ccf_lag1,0.8441,0.085924
depot__effector,cross_variable,level_corr,-0.3433,1.016908
depot__effector,cross_variable,diff_corr,0.2882,0.969592
depot__effector,cross_variable,ccf_lag1,-0.3555,0.973918
depot__immune,cross_variable,level_corr,-0.6913,0.190111
depot__immune,cross_variable,diff_corr,-0.0037,0.219013
depot__immune,cross_variable,ccf_lag1,-0.7373,0.155606
immune__effector,cross_variable,level_corr,0.5058,0.451214
immune__effector,cross_variable,diff_corr,0.1358,0.648869
immune__effector,cross_variable,ccf_lag1,0.5173,0.418956
