variable,category,statistic,value,iqr_obs
x0,distribution,mean,9.292,11.153832
x0,distribution,std,1.46,1.448549
x0,distribution,iqr,1.129,0.993961
x0,distribution,skewness,1.838,0.568884
x0,distribution,outlier_frac,0.0703,0.0
x0,distribution,value_range,6.284,6.24912
x0,autocorrelation,acf_lag1,0.9329,0.023711
x0,autocorrelation,acf_lag2,0.869,0.045761
x0,autocorrelation,acf_lag3,0.8086,0.064439
x0,autocorrelation,acf_first_zero,NaN,NaN
x0,autocorrelation,dominant_freq,0.009901,0.0
x0,autocorrelation,spectral_entropy,2.0327,0.26041
x0,stationarity,statav,0.8601,0.065841
x0,stationarity,std_first_diff,0.1,0.098943
x0,entropy,perm_entropy_m3,0.0,0.0
x0,entropy,lz_complexity,0.1978,0.0
x0,scaling,dfa_alpha,2.0065,0.065493
x0,scaling,spectral_slope,-1.6869,0.052175
x0,model_fit,ar_coef_1,2.5147,0.250609
x0,model_fit,exp_smooth_alpha,1.0,0.0
x0,model_fit,turning_point_rate,0.0,0.0
x0,trend,spearman_trend,-1.0,0.0
x0,volatility,mean_crossing_rate,0.01,0.0
x0,volatility,mean_abs_diff,0.063,0.062491
x1,distribution,mean,0.621,0.642621
x1,distribution,std,0.13,0.103346
x1,distribution,iqr,0.073,0.066376
x1,distribution,skewness,-1.165,5.152207
x1,distribution,outlier_frac,0.0665,0.039604
x1,distribution,value_range,0.82,0.815929
x1,autocorrelation,acf_lag1,0.8533,0.14352
x1,autocorrelation,acf_lag2,0.7321,0.229199
x1,autocorrelation,acf_lag3,0.631,0.276113
x1,autocorrelation,acf_first_zero,10.19,6.0
x1,autocorrelation,dominant_freq,0.011881,0.0
x1,autocorrelation,spectral_entropy,2.3629,0.866043
x1,stationarity,statav,0.6029,0.356473
x1,stationarity,std_first_diff,0.038,0.044234
x1,entropy,perm_entropy_m3,0.4252,0.395967
x1,entropy,lz_complexity,0.2645,0.0
x1,scaling,dfa_alpha,1.4034,0.505731
x1,scaling,spectral_slope,-1.6833,0.551442
x1,model_fit,ar_coef_1,2.5483,0.158868
x1,model_fit,exp_smooth_alpha,0.9999,0.0
x1,model_fit,turning_point_rate,0.011,0.0
x1,trend,spearman_trend,-0.61,0.520291
x1,volatility,mean_crossing_rate,0.0177,0.0
x1,volatility,mean_abs_diff,0.011,0.010989
x2,distribution,mean,2.414,2.346544
x2,distribution,std,0.738,0.737782
x2,distribution,iqr,0.608,0.514508
x2,distribution,skewness,-1.617,0.742414
x2,distribution,outlier_frac,0.0715,0.009901
x2,distribution,value_range,2.877,2.77711
x2,autocorrelation,acf_lag1,0.9485,0.026372
x2,autocorrelation,acf_lag2,0.8949,0.053796
x2,autocorrelation,acf_lag3,0.8414,0.079061
x2,autocorrelation,acf_first_zero,NaN,NaN
x2,autocorrelation,dominant_freq,0.009901,0.0
x2,autocorrelation,spectral_entropy,1.8759,0.373586
x2,stationarity,statav,0.8819,0.083168
x2,stationarity,std_first_diff,0.041,0.041369
x2,entropy,perm_entropy_m3,0.0007,0.0
x2,entropy,lz_complexity,0.1978,0.0
x2,scaling,dfa_alpha,2.0866,0.048778
x2,scaling,spectral_slope,-1.7691,0.045866
x2,model_fit,ar_coef_1,2.5318,0.244491
x2,model_fit,exp_smooth_alpha,1.0,0.0
x2,model_fit,turning_point_rate,0.0001,0.0
x2,trend,spearman_trend,1.0,0.0
x2,volatility,mean_crossing_rate,0.01,0.0
x2,volatility,mean_abs_diff,0.029,0.027771
x3,distribution,mean,2.26,3.242874
x3,distribution,std,0.726,0.71892
x3,distribution,iqr,0.52,0.475366
x3,distribution,skewness,2.074,0.575609
x3,distribution,outlier_frac,0.0676,0.0
x3,distribution,value_range,3.407,3.467109
x3,autocorrelation,acf_lag1,0.9163,0.030574
x3,autocorrelation,acf_lag2,0.8416,0.054036
x3,autocorrelation,acf_lag3,0.7744,0.071007
x3,autocorrelation,acf_first_zero,NaN,NaN
x3,autocorrelation,dominant_freq,0.009901,0.0
x3,autocorrelation,spectral_entropy,2.1724,0.254697
x3,stationarity,statav,0.8355,0.067303
x3,stationarity,std_first_diff,0.063,0.064643
x3,entropy,perm_entropy_m3,0.0,0.0
x3,entropy,lz_complexity,0.1978,0.0
x3,scaling,dfa_alpha,1.9207,0.081401
x3,scaling,spectral_slope,-1.6197,0.072157
x3,model_fit,ar_coef_1,2.6006,0.178568
x3,model_fit,exp_smooth_alpha,1.0,0.0
x3,model_fit,turning_point_rate,0.0,0.0
x3,trend,spearman_trend,-1.0,0.0
x3,volatility,mean_crossing_rate,0.01,0.0
x3,volatility,mean_abs_diff,0.034,0.034671
x0__x1,cross_variable,level_corr,0.61,0.520291
x0__x1,cross_variable,diff_corr,0.296,0.76201
x0__x1,cross_variable,ccf_lag1,0.6583,0.536058
x0__x2,cross_variable,level_corr,-1.0,0.0
x0__x2,cross_variable,diff_corr,-0.9808,0.015167
x0__x2,cross_variable,ccf_lag1,-1.0,0.0
x0__x3,cross_variable,level_corr,1.0,0.0
x0__x3,cross_variable,diff_corr,1.0,3.6e-05
x0__x3,cross_variable,ccf_lag1,1.0,0.0
x1__x2,cross_variable,level_corr,-0.61,0.520291
x1__x2,cross_variable,diff_corr,-0.3326,0.753633
x1__x2,cross_variable,ccf_lag1,-0.6071,0.525797
x1__x3,cross_variable,level_corr,0.61,0.520291
x1__x3,cross_variable,diff_corr,0.296,0.761998
x1__x3,cross_variable,ccf_lag1,0.6071,0.525797
x2__x3,cross_variable,level_corr,-1.0,0.0
x2__x3,cross_variable,diff_corr,-0.9806,0.014896
x2__x3,cross_variable,ccf_lag1,-1.0,0.0
