variable,category,statistic,value,iqr_obs
x0,distribution,mean,30.753,12.47155
x0,distribution,std,5.377,3.78776
x0,distribution,iqr,4.967,5.411071
x0,distribution,skewness,0.177,1.237012
x0,distribution,outlier_frac,0.0634,0.049505
x0,distribution,value_range,25.179,15.440564
x0,autocorrelation,acf_lag1,0.9452,0.052312
x0,autocorrelation,acf_lag2,0.8654,0.09243
x0,autocorrelation,acf_lag3,0.7651,0.125008
x0,autocorrelation,acf_first_zero,8.49,2.5
x0,autocorrelation,dominant_freq,0.028342,0.0
x0,autocorrelation,spectral_entropy,1.5539,0.580661
x0,stationarity,statav,0.408,0.282925
x0,stationarity,std_first_diff,1.072,0.771067
x0,entropy,perm_entropy_m3,0.934,0.048502
x0,entropy,lz_complexity,0.3955,0.0
x0,scaling,dfa_alpha,1.7456,0.226482
x0,scaling,spectral_slope,-2.1141,0.711437
x0,model_fit,ar_coef_1,2.7409,0.098187
x0,model_fit,exp_smooth_alpha,1.0,0.0
x0,model_fit,turning_point_rate,0.0551,0.009901
x0,trend,spearman_trend,0.0676,0.211008
x0,volatility,mean_crossing_rate,0.0518,0.02
x0,volatility,mean_abs_diff,0.715,0.598248
x1,distribution,mean,8.153,2.222989
x1,distribution,std,1.029,0.87444
x1,distribution,iqr,0.895,1.071172
x1,distribution,skewness,0.543,1.020609
x1,distribution,outlier_frac,0.0656,0.029703
x1,distribution,value_range,4.814,4.229973
x1,autocorrelation,acf_lag1,0.9502,0.038889
x1,autocorrelation,acf_lag2,0.8711,0.07195
x1,autocorrelation,acf_lag3,0.7683,0.102462
x1,autocorrelation,acf_first_zero,8.37,1.5
x1,autocorrelation,dominant_freq,0.028465,0.0
x1,autocorrelation,spectral_entropy,1.6086,0.44986
x1,stationarity,statav,0.2636,0.191262
x1,stationarity,std_first_diff,0.177,0.14433
x1,entropy,perm_entropy_m3,0.9363,0.043124
x1,entropy,lz_complexity,0.3856,0.0
x1,scaling,dfa_alpha,1.9604,0.195119
x1,scaling,spectral_slope,-2.2133,0.568066
x1,model_fit,ar_coef_1,2.7505,0.105797
x1,model_fit,exp_smooth_alpha,1.0,0.0
x1,model_fit,turning_point_rate,0.0571,0.009901
x1,trend,spearman_trend,-0.0257,0.169094
x1,volatility,mean_crossing_rate,0.0498,0.02
x1,volatility,mean_abs_diff,0.126,0.122051
x0__x1,cross_variable,level_corr,-0.1752,0.163937
x0__x1,cross_variable,diff_corr,-0.1497,0.099223
x0__x1,cross_variable,ccf_lag1,-0.0205,0.190696
